বালাসরস্বতী	Balasaraswati
অদিতি লাহিড়ি	Aditi Lahiri
অমিত কুমার	Amit Kumar
অরুণ জেটলি	Arun Jaitley
ইলা অরুণ	Ila Arun
অর্জুন চরণ হেমব্রম	Arjun Charan Hembram
অসভাল্দো আর্দিলেস	Osvaldo Ardiles
ডগলাস অ্যাডামস	Douglas Adams
অ্যালান আইজ্যাক	Alan Isaac
আখতার জাহান	Begum Akhtar Jahan
আছিয়া বেগম	Aasia
আবিদ আজাদ	Abid Azad
শামীম আজাদ	Shamim Azad
আদি শামির	Adi Shamir
আফছারুল আমীন	Muhammad Afsarul Ameen
আফসান চৌধুরী	Afsan Chowdhury
আবদুল মান্নান	Abdul Mannan
আবু তায়েব মুহাম্মদ জহিরুল আলম	A.T.M. Zahirul Alam
আব্দুল কাদের খান	Abdul Kader Khan
আব্দুল মান্নান খান	Abdul Mannan Khan
আব্দুল মান্নান হোসেন	Abdul Mannan Hossain
আব্দুল হাই	Abdul Hyee
আব্দুস সাত্তার	Md. Abdus Sattar
আব্বাস খান আব্বাসী	Abbas Abbasi
আর্নি ফ্লেচার	Ernie Fletcher
আলাউদ্দিন আলী	Alauddin Ali
আশফাক পারভেজ কায়ানী	Ashfaq Parvez Kayani
আসমা জাহাঙ্গীর	Asma Jahangir
রাইসুল ইসলাম আসাদ	Raisul Islam Asad
আহাদ আলী সরকার	Ahad Ali Sarker
ইউরিকো কইকে	Yuriko Koike
ইমরান খান	Imran Khan
ইমোমালি রহমান	Emomali Rahmon
ইয়স্তেন গার্ডার	Jostein Gaarder
গ্রাহাম ইয়ালপ	Graham Yallop
ইরিনা বোকোভা	Irina Bokova
ঋষি কাপুর	Rishi Kapoor
এঞ্জেলা গোমেজ	Angela Gomes
এডওয়ার্ড জুইক	Edward Zwick
এম. গোলাম শাহী আলম	M. Golam Shahi Alam
এমিলি লাউ	Emily Lau
জন এম্বুরি	John Emburey
ওবায়দুল কাদের	Obaidul Quader
ওয়ালি উদ্দিন	Wali Tasar Uddin
ওয়ালিউর রহমান ভূঁইয়া	Waliur Rahman Bhuiyan
ওরহান পামুক	Orhan Pamuk
ওসামু আকিমোতো	Osamu Akimoto
কামরুল হাসান ভূঁইয়া	Kamrul Hasan Bhuiyan
কারী মোহাম্মদ ইউসুফ	Qari Muhammad Yousuf
ক্যারল কেইন	Carol Kane
জেরেমি কোনি	Jeremy Coney
ক্ষিতীন্দ্র চন্দ্র বৈশ্য	Khitindra Chandra Baishya
খড়্গ প্রসাদ অলি	KP Sharma Oli
খলিলুর রহমান বাবর	Khalilur Rahman Babar
খোদা বকশ চৌধুরী	Khoda Baksh Chowdhury
মহেশ গুণতিলকে	Mahes Goonatilleke
চার্লস ব্রনসন	Charles Bronson
চেরুকুরি রাজকুমার আজাদ	Azad
বিধু বিনোদ চোপড়া	Vidhu Vinod Chopra
অরূপ রতন চৌধুরী	Arup Ratan Choudhury
ট্রেভর চ্যাপেল	Trevor Chappell
জন ডেভিড ব্যারো	John D. Barrow
জাহাঙ্গীর আলম খান	Jahangir Alam Khan
জাহ্নু বরুয়া	Jahnu Barua
জিমি কনর্স	Jimmy Connors
জিয়াউর রহমান	Md. Ziaur Rahman
জিয়াউল হক মৃধা	Md. Ziaul Haque Mridha
জোয়েল গার্নার	Joel Garner
জোয়েল সিলভার	Joel Silver
জ্যাক সজটাক	Jack W. Szostak
জ্যাক্যুলিন বার্টন	Jacqueline Barton
টেরি জর্জ	Terry George
গ্যারি ট্রুপ	Gary Troup
ডন মিগুয়েল রুজ	Don Miguel Ruiz
রয় ডায়াস	Roy Dias
অজিত ডি সিলভা	Ajit de Silva
ডেভিড পেট্রিয়াস	David Petraeus
তাকেকাজু আসাকা	Takekazu Asaka
তালুকদার আব্দুল খালেক	Talukder Abdul Khaleque
তালুকদার মোহাম্মদ ইউনুস	Talukder Md.Yunus
দীপংকর তালুকদার	Dipankar Talukdar
নজরুল ইসলাম চৌধুরী	Md. Nazrul Islam Chowdhury
নিক ফিপস	Nick Phipps
নিয়াজ মোহাম্মদ চৌধুরী	Niaz Mohammad Chowdhury
লিয়াম নিসন	Liam Neeson
পরিব্রাজিকা ব্রজপ্রাণা	Pravrajika Vrajaprana
পার্ক গিউন-হাই	Park Geun-hye
পেড্রো লেমেবেল	Pedro Lemebel
প্যাট্রিক মরো	Patrick Morrow
প্রফুল্ল কুমার মহন্ত	Prafulla Kumar Mahanta
ফজলে হোসেন বাদশা	Fazle Hossain Badsha
দ্বিতীয় ফুয়াদ	Fuad II of Egypt
বনি হলিডে	Bonnie Holiday
বন্দনা শিবা	Vandana Shiva
বাপ্পী লাহিড়ী	Bappi Lahiri
বাবু মেমান	Babu Meman
বাহিয়া হারিরি	Bahia Hariri
বিমল গুহ	Bimal Guha
বেনজীর আহমদ	Benzir Ahmed
রবের্তো বেনিইনি	Roberto Benigni
ভবানী দত্ত জোশী	Bhawani Datt Joshi
মুকেশ ভাট	Mukesh Bhatt
ভিভ রিচার্ডস	Viv Richards
ভেঙ্কটরমন রামকৃষ্ণান	Venki Ramakrishnan
ডায়ান ভেনোরা	Diane Venora
ভ্লাদিমির পুতিন	Vladimir Putin
মইন উদ্দীন খান বাদল	Moin Uddin Khan Badal
মনিরুজ্জামান মনির	Moniruzzaman Monir
মহসিন ফকীহ	Mohsen Faqihi
শিগেরু মিয়ামোতো	Shigeru Miyamoto
জিওফ মিলার	Geoff Miller
মীর কাসেম আলী	Mir Quasem Ali
মুহম্মদ জাফর ইকবাল	Muhammed Zafar Iqbal
মুহাম্মদ ওয়াক্কাস	Muhammad Wakkas
মুহাম্মদ কামারুজ্জামান	Muhammad Kamaruzzaman
মুহাম্মাদ শহীদ সারওয়ার	Sarwar Azam
দিলীপ মেন্ডিস	Duleep Mendis
যশোদাবেন	Jashodaben
কেন ম্যাকইউয়ান	Ken McEwan
রজার মিলা	Roger Milla
রজার ওয়াই. তিসিয়েন	Roger Y. Tsien
রবার্ট জেমেকিস	Robert Zemeckis
রবিন ম্যাককিনলি	Robin McKinley
রবীন্দ্র কৌশিক	Ravindra Kaushik
শাহনাজ রহমতুল্লাহ	Shahnaz Rahmatullah
মতিন রহমান	Motin Rahman
রাজ বাব্বর	Raj Babbar
ওয়াসিম রাজা	Wasim Raja
রাজীব	Wasimul Bari Rajib
রায়হান আখতার বানু	Raihan Akhter Banu Roni
রায়হানুল আবেদীন	Raihanul Abedin
ক্রিস্টোফার রিভ	Christopher Reeve
মিকি রুর্ক	Mickey Rourke
রুস্তম আলী ফরাজী	Md. Rustum Ali Faraji
লক্ষ্মী	Lakshmi
লক্ষ্মী পুরী	Lakshmi Puri
লাকী ইনাম	Lucky Enam
রুনা লায়লা	Runa Laila
লারস পিটার হ্যান্সেন	Lars Peter Hansen
লি সিয়েন লুং	Lee Hsien Loong
লিওনিদ খাচিয়ান	Leonid Khachiyan
ওয়ারেন লিস	Warren Lees
শফিকুল ইসলাম শফিক	Md. Shafiqul Islam
শরফুদ্দিন আহমেদ ঝন্টু	Sharfuddin Ahmed Jhantu
শহীদ হাফিজ করদার	Shahid Hafeez Kardar
শাজাহান খান	Shajahan Khan
শাফী ইমাম রুমী	Shafi Imam Rumi
শাবানা	Shabana
শারদা সিনহা	Sharda Sinha
শাহ ওয়ালি	Shah Wali
সমীর মণ্ডল	Samir Mondal
সরওয়ার জাহান নিজাম	Sarwar Jahan Nizam
সাদেক হোসেন খোকা	Sadeque Hossain Khoka
শাহীন সামাদ	Shaheen Samad
সায়াজী শিন্দে	Sayaji Shinde
সালিমুল হক	Saleemul Huq
সুজাতা	Sujatha
সুদীপ বন্দ্যোপাধ্যায়	Sudip Bandyopadhyay
সুলতানা কামাল খুকী	Sultana Kamal
সুশিলা কারকি	Sushila Karki
সুষমা স্বরাজ	Sushma Swaraj
সৈয়দ আশরাফুল ইসলাম	Sayed Ashraful Islam
সৈয়দ মাইনুল হোসেন	Syed Mainul Hossain
স্টিভ ডেভিস	Steve Davis
স্টিভেন সীগাল	Steven Seagal
স্বপন ভট্টাচার্য্য	Swapan Bhattacharjee
আনিসুল হক	Annisul Huq
ভিন্স হগ	Vince Hogg
হরিশচন্দ্র ভার্মা	H. C. Verma
হাসান ফকরী	Hasan Fakri
পল হিবার্ট	Paul Hibbert
হিলারি ম্যান্টেল	Hilary Mantel
হুন সেন	Hun Sen
হুমায়ুন ফরিদী	Humayun Faridi
হুমায়ূন কবির	Humayun Kabir
ওমর হেনরি	Omar Henry
ড্যারেল হেয়ার	Darrell Hair
সৈয়দ আবিদ আলী	Syed Abid Ali
ফেতহুল্লাহ গুলেন	Fethullah Gülen
রুমা পাল	Ruma Pal
দর্শন রঙ্গনাথন	Darshan Ranganathan
এম. স্ট্যানলি হুইটিংহ্যাম	M. Stanley Whittingham
অনুদ্বৈপায়ন ভট্টাচার্য	Anudvaipayan Bhattacharya
জ্যুল অফমান	Jules A. Hoffmann
অরুণ কুমার বসাক	Arun Kumar Basak
অ্যান-মার্গরেট	Ann-Margret
অ্যালফ্রেড জি গিলম্যান	Alfred G. Gilman
অ্যালেক্স ফার্গুসন	Alex Ferguson
আকবর হোসেন	Akbar Hossain
সাইফুল আজম	Saiful Azam
আতাউর রহমান খান	Ataur Rahman Khan
আদুর গোপালকৃষ্ণন	Adoor Gopalakrishnan
আদেল মাহমুদ	Adel Mahmoud
নাজমা আনোয়ার	Nazma Anwar
আবদুশ শাকুর	Abdus Shakur
আব্দুল জলিল	Abdul Jalil
আব্দুস সাত্তার খান	Abdus Sattar Khan
আমির নিউলি	Amir Pnueli
আরশাদ মাদানী	Arshad Madani
আলতাফ হোসেন চৌধুরী	Altaf Hossain Chowdhury
ইন্তিখাব আলম	Intikhab Alam
এইচ এন আশিকুর রহমান	H. N. Ashequr Rahman
এএসএম শাহজাহান	A. S. M. Shahjahan
এড্রিক বেকার	Edric Baker
এমিল টেওডোর কখার	Emil Theodor Kocher
রায়ান ওনিল	Ryan O\Neal
ওয়াকিল আহমদ	Wakil Ahmed
অজিত ওয়াড়েকর	Ajit Wadekar
টম কন্টি	Tom Conti
কাজী আনোয়ার হোসেন	Kazi Anowar Hossain
বব কুনেছ	Bob Cunis
ক্রিস্তফ কিয়েশ্‌লফ্‌স্কি	Krzysztof Kieślowski
ক্লিনটন বি. সিলি	Clinton B. Seely
হাশেম খান	Hashem Khan
নাসিম-উল-গণি	Nasim-ul-Ghani
গারসন	Gérson
গোহ চক তং	Goh Chok Tong
ক্লাউস গ্রুনবার্গ	Klaus Grünberg
গ্রেগরি বেনফোর্ড	Gregory Benford
চাষী নজরুল ইসলাম	Chashi Nazrul Islam
ডিক চেনি	Dick Cheney
চৌধুরী আবদুল রশিদ	Chauhdry Abdul Rashid
জন জেমসন	John Jameson
জাফরুল্লাহ চৌধুরী	Zafrullah Chowdhury
জিওফ হার্স্ট	Geoff Hurst
জেফ জোন্স	Jeff Jones
জোয়ান ওয়ালাচ স্কট	Joan Wallach Scott
